"Uniprot_Accession","Uniprot_ID","REACTOME_ID","REACTOME_description"
"Q9D0F6","RFC5_MOUSE","R-MMU-110312","Translesion synthesis by REV1"
"Q99J62","RFC4_MOUSE","R-MMU-110312","Translesion synthesis by REV1"
"Q8VEE4","RFA1_MOUSE","R-MMU-110312","Translesion synthesis by REV1"
"Q9D752","MD2L2_MOUSE","R-MMU-110312","Translesion synthesis by REV1"
"Q9CQ71","RFA3_MOUSE","R-MMU-110312","Translesion synthesis by REV1"
"P0CG49","UBB_MOUSE","R-MMU-110312","Translesion synthesis by REV1"
"P17918","PCNA_MOUSE","R-MMU-110312","Translesion synthesis by REV1"
"Q62193","RFA2_MOUSE","R-MMU-110312","Translesion synthesis by REV1"
"P0CG50","UBC_MOUSE","R-MMU-110312","Translesion synthesis by REV1"
"P35601","RFC1_MOUSE","R-MMU-110312","Translesion synthesis by REV1"
"P62983","RS27A_MOUSE","R-MMU-110312","Translesion synthesis by REV1"
"Q61493","REV3L_MOUSE","R-MMU-110312","Translesion synthesis by REV1"
"Q920Q2","REV1_MOUSE","R-MMU-110312","Translesion synthesis by REV1"
"Q9WUK4","RFC2_MOUSE","R-MMU-110312","Translesion synthesis by REV1"
"Q9CQ71","RFA3_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q8R323","RFC3_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q8BJQ2","UBP1_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q9D0F6","RFC5_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"A2A432","CUL4B_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q3TCH7","CUL4A_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q3U1J4","DDB1_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q8VEE4","RFA1_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P62984","RL40_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"O54956","DPOE2_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P62983","RS27A_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q9CWP8","DPOD4_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P17918","PCNA_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P63147","UBE2B_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q9EQ28","DPOD3_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q99J62","RFC4_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P52431","DPOD1_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q9WUK4","RFC2_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"O35654","DPOD2_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q9JKP7","DPOE3_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q8BH57","WDR48_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P62878","RBX1_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P0CG50","UBC_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P0CG49","UBB_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q3TLR7","DTL_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q9CQ36","DPOE4_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q9QXK2","RAD18_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q9WVF7","DPOE1_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q62193","RFA2_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P35601","RFC1_MOUSE","R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q9D0F6","RFC5_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"P35601","RFC1_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"Q8VEE4","RFA1_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"P62983","RS27A_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"P60670","NPL4_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"P17918","PCNA_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"Q9JJN0","POLH_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"P70362","UFD1_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"G3X912","SPRTN_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"Q8R323","RFC3_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"Q9CQ71","RFA3_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"P0CG50","UBC_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"P0CG49","UBB_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"P62984","RL40_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"Q9WUK4","RFC2_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"Q99J62","RFC4_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"Q9CR50","ZN363_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"Q62193","RFA2_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"Q01853","TERA_MOUSE","R-MMU-110320","Translesion Synthesis by POLH"
"Q8K4Q6","NEIL1_MOUSE","R-MMU-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q6P5C5","SMUG1_MOUSE","R-MMU-110329","Cleavage of the damaged pyrimidine "
"Q6R2P8","NEIL2_MOUSE","R-MMU-110329","Cleavage of the damaged pyrimidine "
"P56581","TDG_MOUSE","R-MMU-110329","Cleavage of the damaged pyrimidine "
"O08760","OGG1_MOUSE","R-MMU-110329","Cleavage of the damaged pyrimidine "
"P97931","UNG_MOUSE","R-MMU-110329","Cleavage of the damaged pyrimidine "
"Q8K4Q6","NEIL1_MOUSE","R-MMU-110329","Cleavage of the damaged pyrimidine "
"Q9Z2D7","MBD4_MOUSE","R-MMU-110329","Cleavage of the damaged pyrimidine "
"O35980","NTH_MOUSE","R-MMU-110329","Cleavage of the damaged pyrimidine "
"O08760","OGG1_MOUSE","R-MMU-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q04841","3MG_MOUSE","R-MMU-110331","Cleavage of the damaged purine"
"Q8K203","NEIL3_MOUSE","R-MMU-110331","Cleavage of the damaged purine"
"Q99P21","MUTYH_MOUSE","R-MMU-110331","Cleavage of the damaged purine"
"O08760","OGG1_MOUSE","R-MMU-110331","Cleavage of the damaged purine"
"Q9Z2D7","MBD4_MOUSE","R-MMU-110357","Displacement of DNA glycosylase by APEX1"
"O08760","OGG1_MOUSE","R-MMU-110357","Displacement of DNA glycosylase by APEX1"
"Q6P5C5","SMUG1_MOUSE","R-MMU-110357","Displacement of DNA glycosylase by APEX1"
"P28352","APEX1_MOUSE","R-MMU-110357","Displacement of DNA glycosylase by APEX1"
"P56581","TDG_MOUSE","R-MMU-110357","Displacement of DNA glycosylase by APEX1"
"Q04841","3MG_MOUSE","R-MMU-110357","Displacement of DNA glycosylase by APEX1"
"Q99P21","MUTYH_MOUSE","R-MMU-110357","Displacement of DNA glycosylase by APEX1"
"O35980","NTH_MOUSE","R-MMU-110357","Displacement of DNA glycosylase by APEX1"
"P97931","UNG_MOUSE","R-MMU-110357","Displacement of DNA glycosylase by APEX1"
"Q8CG72","ADPRS_MOUSE","R-MMU-110362","POLB-Dependent Long Patch Base Excision Repair"
"P37913","DNLI1_MOUSE","R-MMU-110362","POLB-Dependent Long Patch Base Excision Repair"
"Q8K409","DPOLB_MOUSE","R-MMU-110362","POLB-Dependent Long Patch Base Excision Repair"
"O88554","PARP2_MOUSE","R-MMU-110362","POLB-Dependent Long Patch Base Excision Repair"
"O88622","PARG_MOUSE","R-MMU-110362","POLB-Dependent Long Patch Base Excision Repair"
"P39749","FEN1_MOUSE","R-MMU-110362","POLB-Dependent Long Patch Base Excision Repair"
"P11103","PARP1_MOUSE","R-MMU-110362","POLB-Dependent Long Patch Base Excision Repair"
"P28352","APEX1_MOUSE","R-MMU-110362","POLB-Dependent Long Patch Base Excision Repair"
"Q8K409","DPOLB_MOUSE","R-MMU-110373","Resolution of AP sites via the multiple-nucleotide patch replacement pathway"
"P28352","APEX1_MOUSE","R-MMU-110373","Resolution of AP sites via the multiple-nucleotide patch replacement pathway"
"Q8K409","DPOLB_MOUSE","R-MMU-110381","Resolution of AP sites via the single-nucleotide replacement pathway"
"Q60596","XRCC1_MOUSE","R-MMU-110381","Resolution of AP sites via the single-nucleotide replacement pathway"
"P97386","DNLI3_MOUSE","R-MMU-110381","Resolution of AP sites via the single-nucleotide replacement pathway"
"Q8BUV6","LSM11_MOUSE","R-MMU-111367","SLBP independent Processing of Histone Pre-mRNAs"
"Q8BI67","ZN473_MOUSE","R-MMU-111367","SLBP independent Processing of Histone Pre-mRNAs"
"P62305","RUXE_MOUSE","R-MMU-111367","SLBP independent Processing of Histone Pre-mRNAs"
"P62309","RUXG_MOUSE","R-MMU-111367","SLBP independent Processing of Histone Pre-mRNAs"
"Q8QZX5","LSM10_MOUSE","R-MMU-111367","SLBP independent Processing of Histone Pre-mRNAs"
"P62320","SMD3_MOUSE","R-MMU-111367","SLBP independent Processing of Histone Pre-mRNAs"
"P27048","RSMB_MOUSE","R-MMU-111367","SLBP independent Processing of Histone Pre-mRNAs"
"Q9CQ49","NCBP2_MOUSE","R-MMU-111367","SLBP independent Processing of Histone Pre-mRNAs"
"P62307","RUXF_MOUSE","R-MMU-111367","SLBP independent Processing of Histone Pre-mRNAs"
"Q3UYV9","NCBP1_MOUSE","R-MMU-111367","SLBP independent Processing of Histone Pre-mRNAs"
"P63168","DYL1_MOUSE","R-MMU-111446","Activation of BIM and translocation to mitochondria "
"Q91Y86","MK08_MOUSE","R-MMU-111446","Activation of BIM and translocation to mitochondria "
"O54918","B2L11_MOUSE","R-MMU-111446","Activation of BIM and translocation to mitochondria "
"P10417","BCL2_MOUSE","R-MMU-111447","Activation of BAD and translocation to mitochondria "
"Q9CQV8","1433B_MOUSE","R-MMU-111447","Activation of BAD and translocation to mitochondria "
"P70444","BID_MOUSE","R-MMU-111447","Activation of BAD and translocation to mitochondria "
"P62259","1433E_MOUSE","R-MMU-111447","Activation of BAD and translocation to mitochondria "
"Q61337","BAD_MOUSE","R-MMU-111447","Activation of BAD and translocation to mitochondria "
"P68510","1433F_MOUSE","R-MMU-111447","Activation of BAD and translocation to mitochondria "
"P63101","1433Z_MOUSE","R-MMU-111447","Activation of BAD and translocation to mitochondria "
"P48455","PP2BC_MOUSE","R-MMU-111447","Activation of BAD and translocation to mitochondria "
"P68254","1433T_MOUSE","R-MMU-111447","Activation of BAD and translocation to mitochondria "
"P61982","1433G_MOUSE","R-MMU-111447","Activation of BAD and translocation to mitochondria "
"Q63810","CANB1_MOUSE","R-MMU-111447","Activation of BAD and translocation to mitochondria "
"O70456","1433S_MOUSE","R-MMU-111447","Activation of BAD and translocation to mitochondria "
"Q9JM54","APR_MOUSE","R-MMU-111448","Activation of NOXA and translocation to mitochondria"
"P70444","BID_MOUSE","R-MMU-111452","Activation and oligomerization of BAK protein"
"O08734","BAK_MOUSE","R-MMU-111452","Activation and oligomerization of BAK protein"
"Q61337","BAD_MOUSE","R-MMU-111453","BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members"
"O54918","B2L11_MOUSE","R-MMU-111453","BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members"
"Q91ZE9","BMF_MOUSE","R-MMU-111453","BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members"
"P70444","BID_MOUSE","R-MMU-111453","BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members"
"Q64373","B2CL1_MOUSE","R-MMU-111453","BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members"
"P10417","BCL2_MOUSE","R-MMU-111453","BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members"
"Q9JM54","APR_MOUSE","R-MMU-111453","BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members"
"Q9JIQ3","DBLOH_MOUSE","R-MMU-111457","Release of apoptotic factors from the mitochondria"
"Q9Z2D3","GSDME_MOUSE","R-MMU-111457","Release of apoptotic factors from the mitochondria"
"Q9D8T2","GSDMD_MOUSE","R-MMU-111457","Release of apoptotic factors from the mitochondria"
"Q07813","BAX_MOUSE","R-MMU-111457","Release of apoptotic factors from the mitochondria"
"O08734","BAK_MOUSE","R-MMU-111457","Release of apoptotic factors from the mitochondria"
"P62897","CYC_MOUSE","R-MMU-111457","Release of apoptotic factors from the mitochondria"
"P28661","SEPT4_MOUSE","R-MMU-111457","Release of apoptotic factors from the mitochondria"
"Q8C3Q9","CASP9_MOUSE","R-MMU-111458","Formation of apoptosome"
"Q9WVQ5","MTNB_MOUSE","R-MMU-111458","Formation of apoptosome"
"P62897","CYC_MOUSE","R-MMU-111458","Formation of apoptosome"
"Q9D9K3","AVEN_MOUSE","R-MMU-111458","Formation of apoptosome"
"O88879","APAF_MOUSE","R-MMU-111458","Formation of apoptosome"
"Q8C3Q9","CASP9_MOUSE","R-MMU-111459","Activation of caspases through apoptosome-mediated cleavage"
"P62897","CYC_MOUSE","R-MMU-111459","Activation of caspases through apoptosome-mediated cleavage"
"P70677","CASP3_MOUSE","R-MMU-111459","Activation of caspases through apoptosome-mediated cleavage"
"Q60989","XIAP_MOUSE","R-MMU-111459","Activation of caspases through apoptosome-mediated cleavage"
"O88879","APAF_MOUSE","R-MMU-111459","Activation of caspases through apoptosome-mediated cleavage"
"P97864","CASP7_MOUSE","R-MMU-111459","Activation of caspases through apoptosome-mediated cleavage"
"Q60989","XIAP_MOUSE","R-MMU-111463","SMAC (DIABLO) binds to IAPs "
"P97864","CASP7_MOUSE","R-MMU-111463","SMAC (DIABLO) binds to IAPs "
"Q9JIQ3","DBLOH_MOUSE","R-MMU-111463","SMAC (DIABLO) binds to IAPs "
"P97864","CASP7_MOUSE","R-MMU-111464","SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes "
"Q60989","XIAP_MOUSE","R-MMU-111464","SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes "
"Q9JIQ3","DBLOH_MOUSE","R-MMU-111464","SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes "
"Q61239","FNTA_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"Q99JT2","STK26_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"Q60611","SATB1_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"P70677","CASP3_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"Q02111","KPCT_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"Q62210","BIRC2_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"P28867","KPCD_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"Q61315","APC_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"Q9JIX8","ACINU_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"P70335","ROCK1_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"P34152","FAK1_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"P97864","CASP7_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"Q80YR7","CLSPN_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"P97504","BMX_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"O08738","CASP6_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"O89110","CASP8_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"Q61335","BAP31_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"Q99KH8","STK24_MOUSE","R-MMU-111465","Apoptotic cleavage of cellular proteins"
"Q60989","XIAP_MOUSE","R-MMU-111469","SMAC, XIAP-regulated apoptotic response"
"Q9JIQ3","DBLOH_MOUSE","R-MMU-111469","SMAC, XIAP-regulated apoptotic response"
"P28661","SEPT4_MOUSE","R-MMU-111469","SMAC, XIAP-regulated apoptotic response"
"P97864","CASP7_MOUSE","R-MMU-111469","SMAC, XIAP-regulated apoptotic response"
"P70677","CASP3_MOUSE","R-MMU-111469","SMAC, XIAP-regulated apoptotic response"
"P01193","COLI_MOUSE","R-MMU-111885","Opioid Signalling"
"O35417","PDYN_MOUSE","R-MMU-111885","Opioid Signalling"
"P42866","OPRM_MOUSE","R-MMU-111885","Opioid Signalling"
"Q8VBY2","KKCC1_MOUSE","R-MMU-111932","CaMK IV-mediated phosphorylation of CREB"
"P0DP26","CALM1_MOUSE","R-MMU-111932","CaMK IV-mediated phosphorylation of CREB"
"Q8C078","KKCC2_MOUSE","R-MMU-111932","CaMK IV-mediated phosphorylation of CREB"
"P08414","KCC4_MOUSE","R-MMU-111932","CaMK IV-mediated phosphorylation of CREB"
"P63318","KPCG_MOUSE","R-MMU-111933","Calmodulin induced events"
"P0DP26","CALM1_MOUSE","R-MMU-111933","Calmodulin induced events"
"Q99MK8","ARBK1_MOUSE","R-MMU-111933","Calmodulin induced events"
"P28867","KPCD_MOUSE","R-MMU-111933","Calmodulin induced events"
"P20444","KPCA_MOUSE","R-MMU-111933","Calmodulin induced events"
"P0DP26","CALM1_MOUSE","R-MMU-111957","Cam-PDE 1 activation"
"Q01065","PDE1B_MOUSE","R-MMU-111957","Cam-PDE 1 activation"
"Q61481","PDE1A_MOUSE","R-MMU-111957","Cam-PDE 1 activation"
"Q64338","PDE1C_MOUSE","R-MMU-111957","Cam-PDE 1 activation"
"P63085","MK01_MOUSE","R-MMU-111995","phospho-PLA2 pathway"
"P47713","PA24A_MOUSE","R-MMU-111995","phospho-PLA2 pathway"
"Q9Z1B3","PLCB1_MOUSE","R-MMU-112043","PLC beta mediated events"
"P21279","GNAQ_MOUSE","R-MMU-112043","PLC beta mediated events"
"P51432","PLCB3_MOUSE","R-MMU-112043","PLC beta mediated events"
"P30677","GNA14_MOUSE","R-MMU-112043","PLC beta mediated events"
"P21278","GNA11_MOUSE","R-MMU-112043","PLC beta mediated events"
"A3KGF7","PLCB2_MOUSE","R-MMU-112043","PLC beta mediated events"
"P30678","GNA15_MOUSE","R-MMU-112043","PLC beta mediated events"
"O54851","CXD2_MOUSE","R-MMU-112303","Electric Transmission Across Gap Junctions"
"Q9JIP4","PANX1_MOUSE","R-MMU-112303","Electric Transmission Across Gap Junctions"
"Q9WUS4","CXA10_MOUSE","R-MMU-112303","Electric Transmission Across Gap Junctions"
"Q6IMP4","PANX2_MOUSE","R-MMU-112303","Electric Transmission Across Gap Junctions"
"P28229","CXG1_MOUSE","R-MMU-112303","Electric Transmission Across Gap Junctions"
"P97445","CAC1A_MOUSE","R-MMU-112308","Presynaptic depolarization and calcium channel opening"
"Q9Z1L5","CA2D3_MOUSE","R-MMU-112308","Presynaptic depolarization and calcium channel opening"
"Q6PHS9","CA2D2_MOUSE","R-MMU-112308","Presynaptic depolarization and calcium channel opening"
"Q8CC27","CACB2_MOUSE","R-MMU-112308","Presynaptic depolarization and calcium channel opening"
"O88602","CCG2_MOUSE","R-MMU-112308","Presynaptic depolarization and calcium channel opening"
"Q8R0S4","CACB4_MOUSE","R-MMU-112308","Presynaptic depolarization and calcium channel opening"
"Q9JJV4","CCG4_MOUSE","R-MMU-112308","Presynaptic depolarization and calcium channel opening"
"Q8R3Z5","CACB1_MOUSE","R-MMU-112308","Presynaptic depolarization and calcium channel opening"
"O55017","CAC1B_MOUSE","R-MMU-112308","Presynaptic depolarization and calcium channel opening"
"Q61290","CAC1E_MOUSE","R-MMU-112308","Presynaptic depolarization and calcium channel opening"
"P54285","CACB3_MOUSE","R-MMU-112308","Presynaptic depolarization and calcium channel opening"
"Q9D7V9","NAAA_MOUSE","R-MMU-112310","Neurotransmitter release cycle"
"O70577","S22A2_MOUSE","R-MMU-112311","Neurotransmitter clearance"
"O08966","S22A1_MOUSE","R-MMU-112311","Neurotransmitter clearance"
"Q91XP5","GLRA3_MOUSE","R-MMU-112314","Neurotransmitter receptors and postsynaptic signal transmission"
"Q7TNC8","GLRA2_MOUSE","R-MMU-112314","Neurotransmitter receptors and postsynaptic signal transmission"
"P48168","GLRB_MOUSE","R-MMU-112314","Neurotransmitter receptors and postsynaptic signal transmission"
"P23979","5HT3A_MOUSE","R-MMU-112314","Neurotransmitter receptors and postsynaptic signal transmission"
"Q64018","GLRA1_MOUSE","R-MMU-112314","Neurotransmitter receptors and postsynaptic signal transmission"
"Q9JHJ5","5HT3B_MOUSE","R-MMU-112314","Neurotransmitter receptors and postsynaptic signal transmission"
"Q9CQ49","NCBP2_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"Q5XJE5","LEO1_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"Q3THK3","T2FA_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"Q3UYV9","NCBP1_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"P08775","RPB1_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"Q9D4C5","EAF1_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"Q62018","CTR9_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"O55201","SPT5H_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"Q9ERF3","SKI8_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"O08811","ERCC2_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"O88874","CCNK_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"Q7TQK0","CCNT2_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"Q9D7M8","RPB4_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"Q922L6","NELFD_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"Q9JIB4","TF2H2_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"Q8VD76","TF2H3_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"Q8JZM7","CDC73_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"Q923G2","RPAB3_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
"Q8K2T8","PAF1_MOUSE","R-MMU-112382","Formation of RNA Pol II elongation complex "
