"","Uniprot_accession","Uniprot_name","description","OrganismName","OrganismIdentifier","GeneName","ProteinExistence","SequenceVersion"
"40","A2A974","CP4CB_MOUSE","Cytochrome P450 4A12B","Mus musculus","10090","Cyp4a12b","1","1"
"41","A2A9A2","DMTA2_MOUSE","Doublesex- and mab-3-related transcription factor A2","Mus musculus","10090","Dmrta2","2","1"
"42","A2A9C3","SZT2_MOUSE","KICSTOR complex protein SZT2","Mus musculus","10090","Szt2","1","1"
"43","A2A9F4","KDF1_MOUSE","Keratinocyte differentiation factor 1","Mus musculus","10090","Kdf1","1","1"
"44","A2AA28","MET23_MOUSE","Histone-arginine methyltransferase METTL23","Mus musculus","10090","Mettl23","1","1"
"45","A2AAE1","BLTP1_MOUSE","Bridge-like lipid transfer protein family member 1","Mus musculus","10090","Bltp1","1","4"
"46","A2AAJ9","OBSCN_MOUSE","Obscurin","Mus musculus","10090","Obscn","1","3"
"47","A2AAY5","SPD2B_MOUSE","SH3 and PX domain-containing protein 2B","Mus musculus","10090","Sh3pxd2b","1","1"
"48","A2ABV5","MED14_MOUSE","Mediator of RNA polymerase II transcription subunit 14","Mus musculus","10090","Med14","1","1"
"49","A2AC93","DNAI2_MOUSE","Dynein axonemal intermediate chain 2","Mus musculus","10090","Dnai2","1","2"
"50","A2AD83","FRMD7_MOUSE","FERM domain-containing protein 7","Mus musculus","10090","Frmd7","1","1"
"51","A2AF47","DOC11_MOUSE","Dedicator of cytokinesis protein 11","Mus musculus","10090","Dock11","1","1"
"52","A2AFS3","ELAP1_MOUSE","Endosome/lysosome-associated apoptosis and autophagy regulator 1","Mus musculus","10090","Elapor1","1","1"
"53","A2AG06","MEIOC_MOUSE","Meiosis-specific coiled-coil domain-containing protein MEIOC","Mus musculus","10090","Meioc","1","1"
"54","A2AGH6","MED12_MOUSE","Mediator of RNA polymerase II transcription subunit 12","Mus musculus","10090","Med12","1","1"
"55","A2AGL3","RYR3_MOUSE","Ryanodine receptor 3","Mus musculus","10090","Ryr3","1","1"
"56","A2AGT5","CKAP5_MOUSE","Cytoskeleton-associated protein 5","Mus musculus","10090","Ckap5","1","1"
"57","A2AH22","AMRA1_MOUSE","Activating molecule in BECN1-regulated autophagy protein 1","Mus musculus","10090","Ambra1","1","1"
"58","A2AHL1","ANO3_MOUSE","Anoctamin-3","Mus musculus","10090","Ano3","1","1"
"59","A2AI05","NDOR1_MOUSE","NADPH-dependent diflavin oxidoreductase 1","Mus musculus","10090","Ndor1","2","1"
"60","A2AIR5","NMD3A_MOUSE","Glutamate receptor ionotropic, NMDA 3A","Mus musculus","10090","Grin3a","1","1"
"61","A2AIV2","VIR_MOUSE","Protein virilizer homolog","Mus musculus","10090","Virma","1","1"
"62","A2AIV8","CARD9_MOUSE","Caspase recruitment domain-containing protein 9","Mus musculus","10090","Card9","1","1"
"63","A2AIW0","ENTR1_MOUSE","Endosome-associated-trafficking regulator 1","Mus musculus","10090","Entr1","1","1"
"64","A2AJ15","MA1B1_MOUSE","Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase","Mus musculus","10090","Man1b1","1","1"
"65","A2AJ76","HMCN2_MOUSE","Hemicentin-2","Mus musculus","10090","Hmcn2","1","1"
"66","A2AJ77","PRD12_MOUSE","PR domain zinc finger protein 12","Mus musculus","10090","Prdm12","2","1"
"67","A2AJ88","PLPL7_MOUSE","Patatin-like phospholipase domain-containing protein 7","Mus musculus","10090","Pnpla7","1","1"
"68","A2AJB7","LCN5_MOUSE","Epididymal-specific lipocalin-5","Mus musculus","10090","Lcn5","1","1"
"69","A2AJK6","CHD7_MOUSE","Chromodomain-helicase-DNA-binding protein 7","Mus musculus","10090","Chd7","1","1"
"70","A2AJN7","S4A11_MOUSE","Solute carrier family 4 member 11","Mus musculus","10090","Slc4a11","2","1"
"71","A2AJX4","MALR1_MOUSE","MAM and LDL-receptor class A domain-containing protein 1","Mus musculus","10090","Malrd1","1","2"
"72","A2AKK5","ACNT1_MOUSE","Acyl-coenzyme A amino acid N-acyltransferase 1","Mus musculus","10090","Acnat1","1","1"
"73","A2AKM2","HACD4_MOUSE","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 4","Mus musculus","10090","Hacd4","2","2"
"74","A2AKQ0","S35D1_MOUSE","UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter","Mus musculus","10090","Slc35d1","2","2"
"75","A2AKX3","SETX_MOUSE","Probable helicase senataxin","Mus musculus","10090","Setx","1","1"
"76","A2AL36","CNTRL_MOUSE","Centriolin","Mus musculus","10090","Cntrl","1","2"
"77","A2ALS5","RPGP1_MOUSE","Rap1 GTPase-activating protein 1","Mus musculus","10090","Rap1gap","1","2"
"78","A2ALU4","SHRM2_MOUSE","Protein Shroom2","Mus musculus","10090","Shroom2","1","1"
"79","A2ALV5","SHOC1_MOUSE","Protein shortage in chiasmata 1 ortholog","Mus musculus","10090","Shoc1","1","1"
"80","A2AM29","AF9_MOUSE","Protein AF-9","Mus musculus","10090","Mllt3","1","1"
"81","A2AMM0","CAVN4_MOUSE","Caveolae-associated protein 4","Mus musculus","10090","Cavin4","1","1"
"82","A2AMT1","BFSP1_MOUSE","Filensin","Mus musculus","10090","Bfsp1","1","1"
"83","A2AN08","UBR4_MOUSE","E3 ubiquitin-protein ligase UBR4","Mus musculus","10090","Ubr4","1","1"
"84","A2ANU3","SYNG1_MOUSE","Synapse differentiation-inducing gene protein 1","Mus musculus","10090","Syndig1","1","1"
"85","A2AP18","PLCH2_MOUSE","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2","Mus musculus","10090","Plch2","1","2"
"86","A2APB8","TPX2_MOUSE","Targeting protein for Xklp2","Mus musculus","10090","Tpx2","1","1"
"87","A2APC3","TTLL9_MOUSE","Probable tubulin polyglutamylase TTLL9","Mus musculus","10090","Ttll9","1","2"
"88","A2APF3","CTCFL_MOUSE","Transcriptional repressor CTCFL","Mus musculus","10090","Ctcfl","1","1"
"89","A2APX8","SCN1A_MOUSE","Sodium channel protein type 1 subunit alpha","Mus musculus","10090","Scn1a","1","1"
"90","A2AQ07","TBB1_MOUSE","Tubulin beta-1 chain","Mus musculus","10090","Tubb1","1","1"
"91","A2AQ19","RTF1_MOUSE","RNA polymerase-associated protein RTF1 homolog","Mus musculus","10090","Rtf1","1","1"
"92","A2AQ25","SKT_MOUSE","Sickle tail protein","Mus musculus","10090","Skt","1","1"
"93","A2AR95","LRAD3_MOUSE","Low-density lipoprotein receptor class A domain-containing protein 3","Mus musculus","10090","Ldlrad3","1","1"
"94","A2ARA8","ITA8_MOUSE","Integrin alpha-8","Mus musculus","10090","Itga8","1","1"
"95","A2ARI4","LGR4_MOUSE","Leucine-rich repeat-containing G-protein coupled receptor 4","Mus musculus","10090","Lgr4","1","1"
"96","A2ARP1","VIP1_MOUSE","Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1","Mus musculus","10090","Ppip5k1","1","1"
"97","A2ARP9","CTSR2_MOUSE","Cation channel sperm-associated protein 2","Mus musculus","10090","Catsper2","1","2"
"98","A2ARV4","LRP2_MOUSE","Low-density lipoprotein receptor-related protein 2","Mus musculus","10090","Lrp2","1","1"
"99","A2AS55","ANR16_MOUSE","Ankyrin repeat domain-containing protein 16","Mus musculus","10090","Ankrd16","1","1"
"100","A2ASI5","SCN3A_MOUSE","Sodium channel protein type 3 subunit alpha","Mus musculus","10090","Scn3a","1","1"
"101","A2ASQ1","AGRIN_MOUSE","Agrin","Mus musculus","10090","Agrn","1","1"
"102","A2ASS6","TITIN_MOUSE","Titin","Mus musculus","10090","Ttn","1","1"
"103","A2ASZ8","SCMC2_MOUSE","Calcium-binding mitochondrial carrier protein SCaMC-2","Mus musculus","10090","Slc25a25","1","1"
"104","A2AT37","RENT2_MOUSE","Regulator of nonsense transcripts 2","Mus musculus","10090","Upf2","1","1"
"105","A2AU37","RD21L_MOUSE","Double-strand-break repair protein rad21-like protein 1","Mus musculus","10090","Rad21l1","1","2"
"106","A2AUC9","KLH41_MOUSE","Kelch-like protein 41","Mus musculus","10090","Klhl41","1","1"
"107","A2AUM9","CE152_MOUSE","Centrosomal protein of 152 kDa","Mus musculus","10090","Cep152","1","1"
"108","A2AUU0","METL8_MOUSE","tRNA N(3)-methylcytidine methyltransferase METTL8, mitochondrial","Mus musculus","10090","Mettl8","1","2"
"109","A2AVA0","SVEP1_MOUSE","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Mus musculus","10090","Svep1","1","1"
"110","A2AVJ5","PRR5L_MOUSE","Proline-rich protein 5-like","Mus musculus","10090","Prr5l","1","1"
"111","A2AWL7","MGAP_MOUSE","MAX gene-associated protein","Mus musculus","10090","Mga","2","1"
"112","A2AWP0","BIRC7_MOUSE","Baculoviral IAP repeat-containing protein 7","Mus musculus","10090","Birc7","2","1"
"113","A2AWT3","AT7L3_MOUSE","Ataxin-7-like protein 3","Mus musculus","10090","Atxn7l3","1","1"
"114","A2AX52","CO6A4_MOUSE","Collagen alpha-4(VI) chain","Mus musculus","10090","Col6a4","1","2"
"115","A2BDX3","MOCS3_MOUSE","Adenylyltransferase and sulfurtransferase MOCS3","Mus musculus","10090","Mocs3","1","1"
"116","A2BH40","ARI1A_MOUSE","AT-rich interactive domain-containing protein 1A","Mus musculus","10090","Arid1a","1","1"
"117","A2CG49","KALRN_MOUSE","Kalirin","Mus musculus","10090","Kalrn","1","1"
"118","A2CG63","ARI4B_MOUSE","AT-rich interactive domain-containing protein 4B","Mus musculus","10090","Arid4b","1","1"
"119","A2RST1","MGST2_MOUSE","Microsomal glutathione S-transferase 2","Mus musculus","10090","Mgst2","2","1"
"120","A2RSY6","TRM1L_MOUSE","TRMT1-like protein","Mus musculus","10090","Trmt1l","1","1"
"121","A2RT67","DEND3_MOUSE","DENN domain-containing protein 3","Mus musculus","10090","Dennd3","1","2"
"122","A2RTF1","CTSRB_MOUSE","Cation channel sperm-associated auxiliary subunit beta","Mus musculus","10090","Catsperb","1","1"
"123","A3FIN4","AT8B5_MOUSE","Phospholipid-transporting ATPase FetA","Mus musculus","10090","Atp8b5","2","1"
"124","A3KFM7","CHD6_MOUSE","Chromodomain-helicase-DNA-binding protein 6","Mus musculus","10090","Chd6","1","1"
"125","A3KFX0","5NT1A_MOUSE","Cytosolic 5'-nucleotidase 1A","Mus musculus","10090","Nt5c1a","1","1"
"126","A3KG59","P20D2_MOUSE","Xaa-Arg dipeptidase","Mus musculus","10090","Pm20d2","1","1"
"127","A3KGF7","PLCB2_MOUSE","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2","Mus musculus","10090","Plcb2","1","1"
"128","A3KGS3","RGPA2_MOUSE","Ral GTPase-activating protein subunit alpha-2","Mus musculus","10090","Ralgapa2","1","2"
"129","A3KGV1","ODFP2_MOUSE","Outer dense fiber protein 2","Mus musculus","10090","Odf2","1","1"
"130","A4FUQ5","FPRS4_MOUSE","Formyl peptide receptor-related sequence 4","Mus musculus","10090","Fpr-rs4","2","2"
"131","A4Q9E5","TTLL3_MOUSE","Tubulin monoglycylase TTLL3","Mus musculus","10090","Ttll3","1","1"
"132","A4Q9E8","TTLL6_MOUSE","Tubulin polyglutamylase TTLL6","Mus musculus","10090","Ttll6","1","1"
"133","A4Q9F0","TTLL7_MOUSE","Tubulin polyglutamylase TTLL7","Mus musculus","10090","Ttll7","1","1"
"134","A4Q9F1","TTLL8_MOUSE","Protein monoglycylase TTLL8","Mus musculus","10090","Ttll8","1","1"
"135","A4Q9F3","TTL10_MOUSE","Protein polyglycylase TTLL10","Mus musculus","10090","Ttll10","1","1"
"136","A4Q9F4","TTL11_MOUSE","Tubulin polyglutamylase TTLL11","Mus musculus","10090","Ttll11","1","1"
"137","A4QPC6","BT2A2_MOUSE","Butyrophilin subfamily 2 member A2","Mus musculus","10090","Btn2a2","1","1"
"138","A6H5Y3","METH_MOUSE","Methionine synthase","Mus musculus","10090","Mtr","1","1"
"139","A6H630","ARMT1_MOUSE","Damage-control phosphatase ARMT1","Mus musculus","10090","Armt1","1","1"
"140","A6H639","DRC5_MOUSE","Dynein regulatory complex subunit 5","Mus musculus","10090","Tcte1","1","1"
"141","A6H687","SAC31_MOUSE","SAC3 domain-containing protein 1","Mus musculus","10090","Sac3d1","1","1"
"142","A6H6A9","RBG1L_MOUSE","Rab GTPase-activating protein 1-like","Mus musculus","10090","Rabgap1l","1","1"
"143","A6H6E2","MMRN2_MOUSE","Multimerin-2","Mus musculus","10090","Mmrn2","1","1"
"144","A6H8H2","DEN4C_MOUSE","DENN domain-containing protein 4C","Mus musculus","10090","Dennd4c","1","1"
"145","A6H8H5","KCNB2_MOUSE","Potassium voltage-gated channel subfamily B member 2","Mus musculus","10090","Kcnb2","1","2"
"146","A6X8Z5","RHG31_MOUSE","Rho GTPase-activating protein 31","Mus musculus","10090","Arhgap31","1","1"
"147","A6X935","ITIH4_MOUSE","Inter alpha-trypsin inhibitor, heavy chain 4","Mus musculus","10090","Itih4","1","2"
"148","A7L9Z8","AT2C2_MOUSE","Calcium-transporting ATPase type 2C member 2","Mus musculus","10090","Atp2c2","1","1"
"149","A7M7C7","SKOR2_MOUSE","SKI family transcriptional corepressor 2","Mus musculus","10090","Skor2","1","1"
"150","A7MCT6","EKI2_MOUSE","Ethanolamine kinase 2","Mus musculus","10090","Etnk2","1","1"
"151","A7RDN6","RNLS_MOUSE","Renalase","Mus musculus","10090","Rnls","1","2"
"152","A7TZE6","SKIT1_MOUSE","Selection and upkeep of intraepithelial T-cells protein 1","Mus musculus","10090","Skint1","1","1"
"153","A8VU90","ANKL1_MOUSE","Ankyrin repeat and LEM domain-containing protein 1","Mus musculus","10090","Ankle1","2","1"
"154","A9Q751","PCDP1_MOUSE","Cilia- and flagella-associated protein 221","Mus musculus","10090","Cfap221","1","1"
"155","B0F2B4","NLGN4_MOUSE","Neuroligin 4-like","Mus musculus","10090","Nlgn4l","1","1"
"156","B0V2N1","PTPRS_MOUSE","Receptor-type tyrosine-protein phosphatase S","Mus musculus","10090","Ptprs","1","1"
"157","B1AQJ2","UBP36_MOUSE","Ubiquitin carboxyl-terminal hydrolase 36","Mus musculus","10090","Usp36","1","1"
"158","B1ARD8","SLFN8_MOUSE","Schlafen family member 8","Mus musculus","10090","Slfn8","2","1"
"159","B1AS29","GRIK3_MOUSE","Glutamate receptor ionotropic, kainate 3","Mus musculus","10090","Grik3","1","1"
"160","B1ASB6","SPOC1_MOUSE","SPOC domain-containing protein 1","Mus musculus","10090","Spocd1","1","3"
"161","B1ATG9","TIKI2_MOUSE","Metalloprotease TIKI2","Mus musculus","10090","Trabd2b","2","1"
"162","B1AUH1","PTPRU_MOUSE","Receptor-type tyrosine-protein phosphatase U","Mus musculus","10090","Ptpru","1","1"
"163","B1AVY7","KI16B_MOUSE","Kinesin-like protein KIF16B","Mus musculus","10090","Kif16b","1","1"
"164","B1AWL2","ZN462_MOUSE","Zinc finger protein 462","Mus musculus","10090","Znf462","1","1"
"165","B1AWN4","AT10B_MOUSE","Phospholipid-transporting ATPase VB","Mus musculus","10090","Atp10b","1","1"
"166","B1AWN6","SCN2A_MOUSE","Sodium channel protein type 2 subunit alpha","Mus musculus","10090","Scn2a","1","1"
"167","B1AXD8","AKIR2_MOUSE","Akirin-2","Mus musculus","10090","Akirin2","1","1"
"168","B1AY10","NFX1_MOUSE","Transcriptional repressor NF-X1","Mus musculus","10090","Nfx1","1","1"
"169","B1AY15","UBP51_MOUSE","Ubiquitin carboxyl-terminal hydrolase 51","Mus musculus","10090","Usp51","1","1"
"170","B1AZ99","OTUD3_MOUSE","OTU domain-containing protein 3","Mus musculus","10090","Otud3","1","1"
"171","B1AZI6","THOC2_MOUSE","THO complex subunit 2","Mus musculus","10090","Thoc2","1","1"
"172","B1AZP2","DLGP4_MOUSE","Disks large-associated protein 4","Mus musculus","10090","Dlgap4","1","1"
"173","B1B0V2","EZHIP_MOUSE","EZH inhibitory protein","Mus musculus","10090","Ezhip","1","1"
"174","B2KF05","BRPF3_MOUSE","Bromodomain and PHD finger-containing protein 3","Mus musculus","10090","Brpf3","1","1"
"175","B2RPY5","GP161_MOUSE","G-protein coupled receptor 161","Mus musculus","10090","Gpr161","1","1"
"176","B2RQC2","UBP42_MOUSE","Ubiquitin carboxyl-terminal hydrolase 42","Mus musculus","10090","Usp42","1","1"
"177","B2RQC6","PYR1_MOUSE","CAD protein","Mus musculus","10090","Cad","1","1"
"178","B2RQL2","STOX1_MOUSE","Storkhead-box protein 1","Mus musculus","10090","Stox1","1","1"
"179","B2RQR8","ECE2_MOUSE","Endothelin-converting enzyme 2","Mus musculus","10090","Ece2","1","1"
"180","B2RR83","YTDC2_MOUSE","3'-5' RNA helicase YTHDC2","Mus musculus","10090","Ythdc2","1","1"
"181","B2RRD7","BRPF1_MOUSE","Peregrin","Mus musculus","10090","Brpf1","1","1"
"182","B2RRE7","OTUD4_MOUSE","OTU domain-containing protein 4","Mus musculus","10090","Otud4","1","1"
"183","B2RS91","RRN3_MOUSE","RNA polymerase I-specific transcription initiation factor RRN3","Mus musculus","10090","Rrn3","1","1"
"184","B2RSH2","GNAI1_MOUSE","Guanine nucleotide-binding protein G(i) subunit alpha-1","Mus musculus","10090","Gnai1","1","1"
"185","B2RU80","PTPRB_MOUSE","Receptor-type tyrosine-protein phosphatase beta","Mus musculus","10090","Ptprb","1","1"
"186","B2RUJ5","APBA1_MOUSE","Amyloid-beta A4 precursor protein-binding family A member 1","Mus musculus","10090","Apba1","1","2"
"187","B2RUP2","UN13D_MOUSE","Protein unc-13 homolog D","Mus musculus","10090","Unc13d","1","2"
"188","B2RUR8","OTU7B_MOUSE","OTU domain-containing protein 7B","Mus musculus","10090","Otud7b","1","1"
"189","B2RVY9","TM182_MOUSE","Transmembrane protein 182","Mus musculus","10090","Tmem182","1","1"
"190","B2RW38","CFA58_MOUSE","Cilia- and flagella-associated protein 58","Mus musculus","10090","Cfap58","1","1"
"191","B2RWS6","EP300_MOUSE","Histone acetyltransferase p300","Mus musculus","10090","Ep300","1","2"
"192","B2RX12","MRP3_MOUSE","ATP-binding cassette sub-family C member 3","Mus musculus","10090","Abcc3","1","2"
"193","B2RX14","TUT4_MOUSE","Terminal uridylyltransferase 4","Mus musculus","10090","Tut4","1","2"
"194","B2RX88","CSPP1_MOUSE","Centrosome and spindle pole associated protein 1","Mus musculus","10090","Cspp1","1","2"
"195","B2RXS4","PLXB2_MOUSE","Plexin-B2","Mus musculus","10090","Plxnb2","1","1"
"196","B2RXV4","FLVC1_MOUSE","Feline leukemia virus subgroup C receptor-related protein 1","Mus musculus","10090","Flvcr1","2","1"
"197","B2RXZ1","PNDC1_MOUSE","Poly(A)-specific ribonuclease PNLDC1","Mus musculus","10090","Pnldc1","1","1"
"198","B2RY04","DOCK5_MOUSE","Dedicator of cytokinesis protein 5","Mus musculus","10090","Dock5","1","2"
"199","B2RY50","ODAD2_MOUSE","Outer dynein arm-docking complex subunit 2","Mus musculus","10090","Odad2","1","1"
"200","B2RY71","DNAI3_MOUSE","Dynein axonemal intermediate chain 3","Mus musculus","10090","Dnai3","1","1"
"201","B5KM66","SYCE3_MOUSE","Synaptonemal complex central element protein 3","Mus musculus","10090","Syce3","1","1"
"202","B5TVM2","ILDR2_MOUSE","Immunoglobulin-like domain-containing receptor 2","Mus musculus","10090","Ildr2","1","2"
"203","B5X0E4","ABCB5_MOUSE","ATP-binding cassette sub-family B member 5","Mus musculus","10090","Abcb5","2","1"
"204","B7ZNG0","KIF7_MOUSE","Kinesin-like protein KIF7","Mus musculus","10090","Kif7","1","1"
"205","B8JK39","ITA9_MOUSE","Integrin alpha-9","Mus musculus","10090","Itga9","1","1"
"206","B8ZXI1","QTRT2_MOUSE","Queuine tRNA-ribosyltransferase accessory subunit 2","Mus musculus","10090","Qtrt2","1","2"
"207","B9EHT4","CLIP3_MOUSE","CAP-Gly domain-containing linker protein 3","Mus musculus","10090","Clip3","1","1"
"208","B9EJ57","MTF1B_MOUSE","Transcription termination factor 1b, mitochondrial","Mus musculus","10090","Mterf1b","2","1"
"209","B9EJ80","PDZD8_MOUSE","PDZ domain-containing protein 8","Mus musculus","10090","Pdzd8","1","1"
"210","B9EJ86","OSBL8_MOUSE","Oxysterol-binding protein-related protein 8","Mus musculus","10090","Osbpl8","1","1"
"211","B9EJA2","CTTB2_MOUSE","Cortactin-binding protein 2","Mus musculus","10090","Cttnbp2","1","2"
"212","B9EJV3","GRB1L_MOUSE","GREB1-like protein","Mus musculus","10090","Greb1l","2","1"
"213","B9EKI3","TMF1_MOUSE","TATA element modulatory factor","Mus musculus","10090","Tmf1","1","2"
"214","B9EKR1","PTPRZ_MOUSE","Receptor-type tyrosine-protein phosphatase zeta","Mus musculus","10090","Ptprz1","1","1"
"215","C0HKE1","H2A1B_MOUSE","Histone H2A type 1-B","Mus musculus","10090","H2ac4","1","1"
"216","C0HKE2","H2A1C_MOUSE","Histone H2A type 1-C","Mus musculus","10090","H2ac6","1","1"
"217","C0HKE3","H2A1D_MOUSE","Histone H2A type 1-D","Mus musculus","10090","H2ac7","1","1"
"218","C0HKE4","H2A1E_MOUSE","Histone H2A type 1-E","Mus musculus","10090","H2ac8","1","1"
"219","C0HKE5","H2A1G_MOUSE","Histone H2A type 1-G","Mus musculus","10090","H2ac11","1","1"
"220","C0HKE6","H2A1I_MOUSE","Histone H2A type 1-I","Mus musculus","10090","H2ac13","1","1"
"221","C0HKE7","H2A1N_MOUSE","Histone H2A type 1-N","Mus musculus","10090","Hist1h2an","1","1"
"222","C0HKE8","H2A1O_MOUSE","Histone H2A type 1-O","Mus musculus","10090","Hist1h2ao","1","1"
"223","C0HKE9","H2A1P_MOUSE","Histone H2A type 1-P","Mus musculus","10090","Hist1h2ap","1","1"
"224","C0LLJ0","IMA8_MOUSE","Importin subunit alpha-8","Mus musculus","10090","Kpna7","1","1"
"225","C3VPR6","NLRC5_MOUSE","Protein NLRC5","Mus musculus","10090","Nlrc5","1","2"
"226","C6KI89","CTSG2_MOUSE","Cation channel sperm-associated auxiliary subunit gamma 2","Mus musculus","10090","Catsperg2","1","1"
"227","D0QMC3","MNDAL_MOUSE","Myeloid cell nuclear differentiation antigen-like protein","Mus musculus","10090","Mndal","1","1"
"228","D0VYS2","HSF3_MOUSE","Heat shock factor protein 3","Mus musculus","10090","Hsf3","2","1"
"229","D2EAC2","ZBED6_MOUSE","Zinc finger BED domain-containing protein 6","Mus musculus","10090","Zbed6","1","1"
"230","D2J0Y4","CJ090_MOUSE","(E2-independent) E3 ubiquitin-conjugating enzyme FATS","Mus musculus","10090","D7Ertd443e","1","1"
"231","D3KU66","ASMT_MOUSE","Acetylserotonin O-methyltransferase","Mus musculus","10090","Asmt","1","1"
"232","D3YTS9","PPAT_MOUSE","Testicular acid phosphatase","Mus musculus","10090","Acp4","1","2"
"233","D3YVF0","AKAP5_MOUSE","A-kinase anchor protein 5","Mus musculus","10090","Akap5","1","2"
